IE_XML_ID;IE_NAME;IE_ID;IE_ACTIVE;IE_ACTIVE_FROM;IE_ACTIVE_TO;IE_PREVIEW_PICTURE;IE_PREVIEW_TEXT;IE_PREVIEW_TEXT_TYPE;IE_DETAIL_PICTURE;IE_DETAIL_TEXT;IE_DETAIL_TEXT_TYPE;IE_CODE;IE_SORT;IE_TAGS;IP_PROP75;IP_PROP73;IP_PROP69;IP_PROP63;IP_PROP64;IP_PROP74;IP_PROP66;IP_PROP68;IP_PROP62;IP_PROP71;IP_PROP76;IP_PROP70;IP_PROP65;IP_PROP72;IP_PROP61;IP_PROP67;IC_GROUP0;IC_GROUP1;IC_GROUP2
;Квартира;;Y;;;;;text;;;text;;500;;;;ЖК На лыжном ;2;-;;;;68,9;2,4;22,5 + 16,1;15;9,8;1,4;8210000;15;;;
;Квартира;;Y;;;;;text;;;text;;;;;;ЖК На лыжном ;2;-;;;;68,9;2,4;22,5 + 16,1;15;9,8;1,4;8210000;16;;;
;Квартира;;Y;;;;;text;;;text;;;;;;ЖК На лыжном ;2;-;;;;68,9;2,4;22,5 + 16,1;15;9,8;1,4;8210000;17;;;
;Квартира;;Y;;;;;text;;;text;;;;;;ЖК На лыжном ;2;-;;;;68,9;2,4;22,5 + 16,1;15;9,8;1,4;8210000;18;;;
;Квартира;;Y;;;;;text;;;text;;;;;;ЖК На лыжном ;2;-;;;;68,9;2,4;22,5 + 16,1;15;9,8;1,4;8210000;19;;;
;Квартира;;Y;;;;;text;;;text;;;;;;ЖК На лыжном ;2;-;;;;68,9;2,4;22,5 + 16,1;15;9,8;1,4;8570000;20;;;
;Квартира;;Y;;;;;text;;;text;;;;;;ЖК На лыжном ;2;-;;;;68,9;2,4;22,5 + 16,1;15;9,8;1,4;8570000;21;;;
;Квартира;;Y;;;;;text;;;text;;;;;;ЖК На лыжном ;2;-;;;;68,9;2,4;22,5 + 16,1;15;9,8;1,4;8570000;22;;;
;Квартира;;Y;;;;;text;;;text;;;;;;ЖК На лыжном ;2;-;;;;68,9;2,4;22,5 + 16,1;15;9,8;1,4;8570000;23;;;
;Квартира;;Y;;;;;text;;;text;;;;;;ЖК На лыжном ;2;-;;;;68,9;2,4;22,5 + 16,1;15;9,8;1,4;8570000;24;;;
;Квартира;;Y;;;;;text;;;text;;;;;;ЖК На лыжном ;2;-;;;;68,9;2,4;22,5 + 16,1;15;9,8;1,4;8930000;25;;;
;Квартира;;Y;;;;;text;;;text;;;;;;ЖК На лыжном ;3;-;;;;103,2;10,4;19,3 + 19,2 + 18,2;19,7;19,1;1,7;12300000;6;;;
;Квартира;;Y;;;;;text;;;text;;;;;;ЖК На лыжном ;3;-;;;;103,2;10,4;19,3 + 19,2 + 18,2;19,7;19,1;1,7;12300000;7;;;
;Квартира;;Y;;;;;text;;;text;;;;;;ЖК На лыжном ;3;-;;;;103,2;10,4;19,3 + 19,2 + 18,2;19,7;19,1;1,7;12300000;8;;;
;Квартира;;Y;;;;;text;;;text;;;;;;ЖК На лыжном ;3;-;;;;103,2;10,4;19,3 + 19,2 + 18,2;19,7;19,1;1,7;12300000;9;;;
;Квартира;;Y;;;;;text;;;text;;;;;;ЖК На лыжном ;3;-;;;;103,2;10,4;19,3 + 19,2 + 18,2;19,7;19,1;1,7;12300000;10;;;
;Квартира;;Y;;;;;text;;;text;;;;;;ЖК На лыжном ;3;-;;;;103,2;10,4;19,3 + 19,2 + 18,2;19,7;19,1;1,7;12300000;11;;;
;Квартира;;Y;;;;;text;;;text;;;;;;ЖК На лыжном ;3;-;;;;103,2;10,4;19,3 + 19,2 + 18,2;19,7;19,1;1,7;12300000;12;;;
;Квартира;;Y;;;;;text;;;text;;;;;;ЖК На лыжном ;3;-;;;;103,2;10,4;19,3 + 19,2 + 18,2;19,7;19,1;1,7;12300000;13;;;
;Квартира;;Y;;;;;text;;;text;;;;;;ЖК На лыжном ;3;-;;;;103,2;10,4;19,3 + 19,2 + 18,2;19,7;19,1;1,7;12300000;14;;;
;Квартира;;Y;;;;;text;;;text;;;;;;ЖК На лыжном ;3;-;;;;103,2;10,4;19,3 + 19,2 + 18,2;19,7;19,1;1,7;15200000;15;;;
;Квартира;;Y;;;;;text;;;text;;;;;;ЖК На лыжном ;3;-;;;;103,2;10,4;19,3 + 19,2 + 18,2;19,7;19,1;1,7;15200000;16;;;
;Квартира;;Y;;;;;text;;;text;;;;;;ЖК На лыжном ;3;-;;;;103,2;10,4;19,3 + 19,2 + 18,2;19,7;19,1;1,7;15200000;17;;;
;Квартира;;Y;;;;;text;;;text;;;;;;ЖК На лыжном ;3;-;;;;103,2;10,4;19,3 + 19,2 + 18,2;19,7;19,1;1,7;15200000;18;;;
;Квартира;;Y;;;;;text;;;text;;;;;;ЖК На лыжном ;3;-;;;;103,2;10,4;19,3 + 19,2 + 18,2;19,7;19,1;1,7;15200000;19;;;
;Квартира;;Y;;;;;text;;;text;;;;;;ЖК На лыжном ;3;-;;;;91,6;3;17,2 + 16,9 + 16,5;20,2;12,9;1,3;10880000;10;;;
;Квартира;;Y;;;;;text;;;text;;;;;;ЖК На лыжном ;3;-;;;;91,6;3;17,2 + 16,9 + 16,5;20,2;12,9;1,3;10880000;11;;;
;Квартира;;Y;;;;;text;;;text;;;;;;ЖК На лыжном ;3;-;;;;91,6;3;17,2 + 16,9 + 16,5;20,2;12,9;1,3;10880000;12;;;
;Квартира;;Y;;;;;text;;;text;;;;;;ЖК На лыжном ;3;-;;;;91,6;3;17,2 + 16,9 + 16,5;20,2;12,9;1,3;10880000;13;;;
;Квартира;;Y;;;;;text;;;text;;;;;;ЖК На лыжном ;3;-;;;;91,6;3;17,2 + 16,9 + 16,5;20,2;12,9;1,3;10880000;14;;;
;Квартира;;Y;;;;;text;;;text;;;;;;ЖК На лыжном ;3;-;;;;91,6;3;17,2 + 16,9 + 16,5;20,2;12,9;1,3;11070000;15;;;
;Квартира;;Y;;;;;text;;;text;;;;;;ЖК На лыжном ;3;-;;;;91,6;3;17,2 + 16,9 + 16,5;20,2;12,9;1,3;11070000;16;;;
;Квартира;;Y;;;;;text;;;text;;;;;;ЖК На лыжном ;3;-;;;;91,6;3;17,2 + 16,9 + 16,5;20,2;12,9;1,3;11070000;17;;;
;Квартира;;Y;;;;;text;;;text;;;;;;ЖК На лыжном ;3;-;;;;91,6;3;17,2 + 16,9 + 16,5;20,2;12,9;1,3;11070000;18;;;
;Квартира;;Y;;;;;text;;;text;;;;;;ЖК На лыжном ;3;-;;;;91,6;3;17,2 + 16,9 + 16,5;20,2;12,9;1,3;11070000;19;;;
;Квартира;;Y;;;;;text;;;text;;;;;;ЖК На лыжном ;3;-;;;;91,6;3;17,2 + 16,9 + 16,5;20,2;12,9;1,3;11550000;20;;;
;Квартира;;Y;;;;;text;;;text;;;;;;ЖК На лыжном ;3;-;;;;91,6;3;17,2 + 16,9 + 16,5;20,2;12,9;1,3;11550000;21;;;
;Квартира;;Y;;;;;text;;;text;;;;;;ЖК На лыжном ;3;-;;;;91,6;3;17,2 + 16,9 + 16,5;20,2;12,9;1,3;11550000;22;;;
;Квартира;;Y;;;;;text;;;text;;;;;;ЖК На лыжном ;3;-;;;;91,6;3;17,2 + 16,9 + 16,5;20,2;12,9;1,3;11550000;23;;;
;Квартира;;Y;;;;;text;;;text;;;;;;ЖК На лыжном ;3;-;;;;91,6;3;17,2 + 16,9 + 16,5;20,2;12,9;1,3;11550000;24;;;
;Квартира;;Y;;;;;text;;;text;;;;;;ЖК На лыжном ;3;-;;;;91,6;3;17,2 + 16,9 + 16,5;20,2;12,9;1,3;12030000;25;;;
